overall,potential,release_clause_eur,club_name,club_position,league_level,weak_foot,skill_moves,international_reputation,body_type,value_eur,log_value
90,94,370800000.0,485,0,1.0,4,4,5,4,174500000,18.977435305337416
89,90,256100000.0,485,17,1.0,4,3,4,9,120500000,18.60716031919374
89,89,141900000.0,216,17,1.0,4,3,4,4,86000000,18.26985786584569
89,90,213700000.0,442,14,1.0,4,4,4,1,111000000,18.525040768285617
87,87,131199999.0,330,16,1.0,4,3,4,3,79500000,18.191267592203175
86,86,78400000.0,330,2,1.0,5,4,4,4,47500000,17.6762402900575
85,85,85800000.0,330,6,1.0,4,3,3,4,52000000,17.76675429577647
87,88,179000000.0,371,9,1.0,3,3,4,4,93000000,18.34811006187022
90,90,188700000.0,378,2,1.0,4,3,5,5,102000000,18.440483381052466
85,85,54600000.0,64,23,1.0,3,4,4,9,26000000,17.073607134447293
84,85,74500000.0,35,6,1.0,3,4,3,9,44500000,17.61099976960838
87,87,146300000.0,379,8,1.0,4,4,4,9,77000000,18.15931599280497
87,90,232700000.0,64,11,1.0,4,4,4,3,107000000,18.488339401771974
86,87,155100000.0,485,14,1.0,4,3,4,9,73000000,18.105970012811294
84,88,127200000.0,60,0,1.0,4,4,3,2,58500000,17.8845373292961
83,83,59500000.0,9,23,1.0,3,3,3,2,35000000,17.370858648025116
84,84,43125000.0,331,23,1.0,3,4,3,4,34500000,17.356469910987094
86,88,151100000.0,414,2,1.0,4,3,3,9,76500000,18.15280131186866
84,84,76700000.0,64,14,1.0,4,3,3,1,36500000,17.41282284594998
82,82,47900000.0,216,9,1.0,4,3,3,9,29000000,17.182806422433504
89,91,247400000.0,442,3,1.0,3,4,4,1,128500000,18.67143947008165
91,91,151700000.0,371,19,1.0,3,4,5,9,82000000,18.22222981742365
80,80,25500000.0,93,23,1.0,4,3,3,4,15000000,16.52356082573315
87,88,160700000.0,56,8,1.0,3,3,4,5,83500000,18.24035720179713
84,84,48800000.0,35,14,1.0,4,4,3,9,30500000,17.233237274364523
87,87,163000000.0,214,17,1.0,3,4,4,9,79500000,18.191267592203175
86,87,153000000.0,378,8,1.0,4,4,4,2,79500000,18.191267592203175
83,86,95300000.0,371,23,1.0,4,4,3,5,49500000,17.71748324774094
89,89,213200000.0,214,10,1.0,4,4,4,1,104000000,18.459901466721032
88,90,228100000.0,56,21,1.0,4,3,4,1,118500000,18.590423526978277
84,84,64800000.0,35,16,1.0,5,4,3,5,40500000,17.516812556768127
89,93,317700000.0,214,9,1.0,4,4,4,1,149500000,18.82280695748398
86,87,153100000.0,414,16,1.0,2,3,4,1,77500000,18.1657885072268
90,90,226600000.0,442,22,1.0,5,5,5,9,122500000,18.623621596112322
85,90,153000000.0,442,16,1.0,4,3,3,4,79500000,18.191267592203175
85,88,128000000.0,371,17,1.0,4,4,3,2,66500000,18.012712520663676
88,88,163400000.0,330,11,1.0,4,4,5,9,99000000,18.410630418199872
83,83,19000000.0,330,8,1.0,5,4,3,4,11500000,16.257857680289998
87,87,62100000.0,408,8,1.0,5,4,4,9,36500000,17.41282284594998
81,81,46800000.0,338,23,1.0,2,3,3,4,27500000,17.129696599000436
87,90,209800000.0,442,12,1.0,5,5,3,4,109000000,18.50685844936773
84,84,70600000.0,79,10,1.0,2,4,3,1,41500000,17.541204009297314
81,84,62200000.0,139,14,1.0,4,3,3,7,31500000,17.265498135541893
81,81,34900000.0,338,23,1.0,2,3,3,4,20500000,16.835935492889124
81,85,77200000.0,64,23,1.0,4,3,3,4,35500000,17.385043282614657
83,83,65700000.0,56,23,1.0,3,3,3,5,35500000,17.385043282614657
84,87,112600000.0,139,9,1.0,4,3,3,4,57000000,17.858561843342684
80,80,31400000.0,258,9,1.0,4,4,3,0,16500000,16.61887099947687
82,82,29700000.0,485,23,1.0,4,3,3,4,14500000,16.489659276356317
80,82,52300000.0,186,18,1.0,3,3,3,4,23000000,16.951004817371683
80,83,55300000.0,275,10,1.0,3,4,3,5,28000000,17.147715103853763
82,85,73100000.0,598,14,1.0,3,3,3,4,37000000,17.426428497635523
91,94,368700000.0,485,22,1.0,4,5,5,9,173500000,18.971688163114877
87,89,188700000.0,56,16,1.0,2,5,4,1,98000000,18.400478046838927
82,82,50200000.0,40,23,1.0,3,4,3,4,29500000,17.19990085520835
82,86,54375000.0,83,9,1.0,5,3,3,4,43500000,17.588271519047417
78,78,10500000.0,496,6,1.0,3,3,3,7,7500000,15.830413711839864
85,85,91800000.0,408,10,1.0,3,3,3,5,54000000,17.804494623047066
89,89,143600000.0,216,22,1.0,4,3,5,9,87000000,18.28141868811311
83,90,165400000.0,485,23,1.0,3,4,3,2,73500000,18.112795977788508
84,85,67800000.0,35,2,1.0,4,3,3,4,40500000,17.516812556768127
82,86,71000000.0,93,23,1.0,3,4,3,5,40000000,17.50439003707821
81,82,47400000.0,330,23,1.0,2,3,3,4,27500000,17.129696599000436
81,81,47500000.0,58,19,1.0,2,3,3,7,25000000,17.034386422832473
82,82,63000000.0,60,23,1.0,4,3,3,4,30000000,17.216707972959764
82,82,35700000.0,93,23,1.0,4,3,3,8,21000000,16.860033043306743
80,80,34900000.0,498,23,1.0,4,3,3,5,20500000,16.835935492889124
83,83,77000000.0,561,10,1.0,4,4,3,4,38500000,17.46616882523204
82,82,58000000.0,414,8,1.0,3,3,3,8,30500000,17.233237274364523
86,89,165600000.0,442,6,1.0,4,3,3,4,86000000,18.26985786584569
88,88,63600000.0,214,22,1.0,4,4,5,9,31000000,17.249497794707484
81,85,64800000.0,338,8,1.0,3,3,3,2,36500000,17.41282284594998
81,81,11900000.0,436,21,1.0,5,4,3,2,8500000,15.955576839107596
85,86,127400000.0,379,21,1.0,2,4,3,7,64500000,17.98217579726988
85,85,102600000.0,58,0,1.0,4,4,3,4,54000000,17.804494623047066
77,77,9900000.0,480,14,1.0,2,3,1,5,5500000,15.520258832020865
88,92,230300000.0,216,23,1.0,4,5,4,1,133500000,18.709612043295216
84,85,89900000.0,139,6,1.0,3,3,3,4,45500000,17.6332229058992
83,83,58900000.0,275,17,1.0,3,3,3,3,31000000,17.249497794707484
79,79,23800000.0,275,9,1.0,4,3,2,4,12500000,16.341239282272525
83,83,19600000.0,9,8,1.0,4,4,3,1,11500000,16.257857680289998
80,81,36400000.0,28,9,1.0,4,3,3,4,20500000,16.835935492889124
82,82,63000000.0,484,0,1.0,3,4,3,4,30000000,17.216707972959764
80,80,41000000.0,517,19,1.0,3,3,2,1,20500000,16.835935492889124
83,86,93800000.0,598,18,1.0,3,4,3,5,47500000,17.6762402900575
84,84,74900000.0,378,16,1.0,3,4,3,1,40500000,17.516812556768127
89,93,289700000.0,371,0,1.0,4,4,5,4,150500000,18.829473648797723
78,79,29300000.0,338,23,1.0,3,3,2,7,16500000,16.61887099947687
80,80,34900000.0,9,5,1.0,4,4,3,5,20500000,16.835935492889124
81,81,45200000.0,472,16,1.0,3,3,3,1,21500000,16.88356353960952
81,81,46600000.0,427,0,1.0,2,3,3,4,24500000,17.01418371633128
81,81,27200000.0,39,9,1.0,4,3,3,1,17000000,16.648723960844016
80,86,65099999.0,99,6,1.0,4,2,1,1,31000000,17.249497794707484
80,85,46500000.0,260,8,1.0,3,3,1,4,31500000,17.265498135541893
79,79,19600000.0,129,2,1.0,4,4,1,4,11500000,16.257857680289998
80,80,28125000.0,420,23,1.0,2,3,3,4,22500000,16.929025911619092
83,83,64099999.0,634,11,1.0,4,4,3,1,30500000,17.233237274364523
84,87,92300000.0,216,23,1.0,3,4,3,9,53500000,17.795192230557824
81,83,55200000.0,330,23,1.0,4,3,3,4,32000000,17.281246492014
